business_id,name,display_name,label,phone_number,lat,lng,standby_days,category
1847608841,스튜디오우양재,,스튜디오우양재,,37.4735213,127.0510045,0,no_domain_kw
38554537,스팟사운드,,스팟사운드,,37.5476832,126.9190399,0,no_domain_kw
1286154,스페이스 개러지 고려대점,,스페이스 개러지 고려대점,,37.5820001,127.0288959,0,no_domain_kw
1577612,스페이스 개러지 성신여대점,,스페이스 개러지 성신여대점,,37.5906615,127.0192452,0,no_domain_kw
1579715,스페이스 에이원,,스페이스 에이원,,37.6235597,126.9181865,0,no_domain_kw
1828998238,스페이스 이오엠,,스페이스 이오엠,,37.5091848,127.0850284,0,no_domain_kw
993428,아이페어 색소폰,,아이페어 색소폰,,37.4867545,127.0162026,0,no_domain_kw
1227620257,아프로스튜디오,,아프로스튜디오,,37.608149,126.8940128,0,no_domain_kw
624658,알디뮤직스튜디오 청량리 본점,,알디뮤직스튜디오 청량리 본점,,37.5861039,127.0491038,0,no_domain_kw
1285490712,애플스튜디오2호점,,애플스튜디오2호점,,37.5843374,126.9998981,0,no_domain_kw
2061580821,엉클제이든,,엉클제이든,,37.453752,127.0300871,0,no_domain_kw
1554097127,에러살롱,,에러살롱,,37.5584367,126.9344188,0,no_domain_kw
1271864459,에이사운드 스튜디오,,에이사운드 스튜디오,,37.5578855,126.9152874,0,no_domain_kw
1986152062,에이치와이랩엔스튜디오,,에이치와이랩엔스튜디오,,37.4813634,127.0103701,0,no_domain_kw
37654156,엘피사운드 스튜디오,,엘피사운드 스튜디오,,37.4812973,127.0412563,0,no_domain_kw
1362561,영사운드 성신여대점,,영사운드 성신여대점,,37.5927172,127.0140128,0,no_domain_kw
31010101,오픈스트링,,오픈스트링,,37.4795806,127.0103762,0,no_domain_kw
1499870001,옥토뮤직,,옥토뮤직,,37.5639258,126.9075836,0,no_domain_kw
1488671768,올라뮤직스튜디오,,올라뮤직스튜디오,,37.5534608,126.9163963,0,no_domain_kw
1600509686,원앤온리,,원앤온리,,37.5346146,127.1485106,0,no_domain_kw
614884,웨이스튜디오,,웨이스튜디오,,37.5825547,127.030782,0,no_domain_kw
1971626223,유니라이브,,유니라이브,,37.4823201,126.9140621,0,no_domain_kw
1131455899,음악인별장,,음악인별장,,37.5537674,127.128314,0,no_domain_kw
1051955216,음악창고,,음악창고,,37.5857288,126.9478275,0,no_domain_kw
1446144961,이엔랩,,이엔랩,,37.5482484,126.9149024,0,no_domain_kw
1102172866,인터갤러틱,,인터갤러틱,,37.5002641,126.8645449,0,no_domain_kw
1559084789,저스트플레이,,저스트플레이,,37.5479762,126.9118739,0,no_domain_kw
36609721,제이워커스,,제이워커스,,37.483313,126.9257229,0,no_domain_kw
1247729,져니스뮤직블럭,,져니스뮤직블럭,,37.5678213,127.0433019,0,no_domain_kw
1990763238,카리스아트컴퍼니,,카리스아트컴퍼니,,37.5001634,126.9422411,0,no_domain_kw
1145210204,콰가컬쳐레이블,,콰가컬쳐레이블,,37.5285351,126.9001767,0,no_domain_kw
1217586464,킹스 스튜디오,,킹스 스튜디오,,37.5183513,127.0500365,0,no_domain_kw
21568012,타임사운드,,타임사운드,,37.481069,127.0415001,0,no_domain_kw
2080599040,테이스티뮤직스튜디오,,테이스티뮤직스튜디오,,37.5444602,126.8370096,0,no_domain_kw
37341408,트리니티사운드,,트리니티사운드,,37.5136503,127.0428778,0,no_domain_kw
11694601,파워하우스,,파워하우스,,37.5224507,127.020845,0,no_domain_kw
1628610297,프롬스튜디오,,프롬스튜디오,,37.5440599,126.9303501,0,no_domain_kw
1257430,하이브 뮤직 스튜디오,,하이브 뮤직 스튜디오,,37.5107888,127.1094868,0,no_domain_kw
1788830273,한성드럼 스튜디오,,한성드럼 스튜디오,,37.580214,127.0149749,0,no_domain_kw
1708213540,헤르츠스튜디오,,헤르츠스튜디오,,37.4865238,126.9263486,0,no_domain_kw
465915,홈그라운드 ai컨텐츠 랩,,홈그라운드 ai컨텐츠 랩,,37.4613567,127.1679951,0,no_domain_kw
1473390479,홍제음악실,,홍제음악실,,37.5872744,126.9466977,0,no_domain_kw
1717890293,후케즈,,후케즈,,37.5119768,126.8932654,0,no_domain_kw
2078504588,SMC음악연습실 명동역점,,SMC음악연습실 명동역점,,37.5595041,126.9858911,0,suspicious_kw_without_habju
1569866912,두드림음악연습실,,두드림음악연습실,,37.6587535,127.0615843,0,suspicious_kw_without_habju
1427109050,라이브클럽 뮤직스페이스,,라이브클럽 뮤직스페이스,,37.5429571,127.0560142,0,suspicious_kw_without_habju
860988,마이부스 연습실 연신내점,,마이부스 연습실 연신내점,,37.6212574,126.9195602,0,suspicious_kw_without_habju
1840550930,말랑뮤직스튜디오 음악연습실,,말랑뮤직스튜디오 음악연습실,,37.5089836,127.1275893,0,suspicious_kw_without_habju
885382130,무지카서울 음악연습실,,무지카서울 음악연습실,,37.5125415,127.1242582,0,suspicious_kw_without_habju
1282270454,바조베이스 클럽,,바조베이스 클럽,,37.5474291,126.927621,0,suspicious_kw_without_habju
36877406,브레스뮤직연습실,,브레스뮤직연습실,,37.4887672,126.9813428,0,suspicious_kw_without_habju
21877769,서울예술음악학원,,서울예술음악학원,,37.4627133,126.9185062,0,suspicious_kw_without_habju
1900159017,소아베 스튜디오 음악연습실,,소아베 스튜디오 음악연습실,,37.4848327,127.0238808,0,suspicious_kw_without_habju
2011830388,수음악연습실,,수음악연습실,,37.4855911,126.9344306,0,suspicious_kw_without_habju
972075384,아이 러브 드럼연습실,,아이 러브 드럼연습실,,37.4805019,126.9459815,0,suspicious_kw_without_habju
1674011548,아티스트룸 연습실,,아티스트룸 연습실,,37.5234931,126.8964749,0,suspicious_kw_without_habju
13550099,에덴실용음악학원,,에덴실용음악학원,,37.580574,126.9054609,0,suspicious_kw_without_habju
732937,여의대방음악연습실,,여의대방음악연습실,,37.5138178,126.9266878,0,suspicious_kw_without_habju
1392395996,음악연습실 쏘울팩토리,,음악연습실 쏘울팩토리,,37.5599218,126.9163245,0,suspicious_kw_without_habju
941710,재즈클럽 그루브,,재즈클럽 그루브,,37.5126692,127.0184716,0,suspicious_kw_without_habju
698143,조져비트 스튜디오 드럼 연습실 연신내점,,조져비트 스튜디오 드럼 연습실 연신내점,,37.6198879,126.9212801,0,suspicious_kw_without_habju
1708894171,타수음악연습실 2호점,,타수음악연습실 2호점,,37.4989204,126.9519462,0,suspicious_kw_without_habju
1259929783,토브콤음악연습실,,토브콤음악연습실,,37.4751039,127.053266,0,suspicious_kw_without_habju
